"Variable.Name","Variable.Description","Data.File.Name","Data.File.Description","Begin.Year","EndYear","Component","Use.Constraints"
"OHX03LAD","Loss of Attachment:  Upper right 1st molar (1M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03LAL","Loss of Attachment:  Upper right 1st molar (1M) mid- lingual - Calculation of :   (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03LAM","Loss of Attachment:  Upper right 1st molar (1M) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03LAP","Loss of Attachment:  Upper right 1st molar (1M) distal lingual - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03LAS","Loss of Attachment:  Upper right 1st molar (1M) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03PCA","Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03PCD","Loss of Attachment: Upper right 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03PCL","Loss of Attachment: Upper right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03PCM","Loss of Attachment:  Upper right 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03PCP","Loss of Attachment: Upper right 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX03PCS","Loss of Attachment:  Upper right 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04CJA","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04CJD","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04CJL","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid - lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04CJM","Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04CJP","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04CJS","Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04LAA","Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04LAD","Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04LAL","Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mid- lingual - Calculation of :   (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04LAM","Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04LAP","Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) distal lingual - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04LAS","Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04PCA","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04PCD","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04PCL","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04PCM","Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial mid-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04PCP","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX04PCS","Loss of Attachment:  Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial mesio-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05CJA","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05CJD","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05CJL","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05CJM","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05CJP","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05CJS","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05LAA","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05LAD","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05LAL","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05LAM","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05LAP","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05LAS","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05PCA","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05PCD","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05PCL","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05PCM","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth)(mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05PCP","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX05PCS","Loss of Attachment:  Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06CJA","Loss of Attachment:  Upper right cuspid (C) mesio- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06CJD","Loss of Attachment: Upper right cuspid (C) distal - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06CJL","Loss of Attachment:  Upper right cuspid (C) mid- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06CJM","Loss of Attachment:  Upper right cuspid (C) mid-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06CJP","Loss of Attachment: Upper right cuspid (C) distal - lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06CJS","Loss of Attachment:  Upper right cuspid (C) mesio-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06LAA","Loss of Attachment:  Upper right cuspid (C) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06LAD","Loss of Attachment:  Upper right cuspid (C) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06LAL","Loss of Attachment:  Upper right cuspid (C) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06LAM","Loss of Attachment:  Upper right cuspid (C) mid-facial - Level of attachment calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06LAP","Loss of Attachment:  Upper right cuspid (C) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06LAS","Loss of Attachment:  Upper right cuspid (C) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06PCA","Loss of Attachment:  Upper right cuspid (C) mesio- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06PCD","Loss of Attachment: Upper right cuspid (C) distal - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06PCL","Loss of Attachment:  Upper right cuspid (C) mid- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06PCM","Loss of Attachment:  Upper right cuspid (C) mid-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06PCP","Loss of Attachment: Upper right cuspid (C) distal - lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX06PCS","Loss of Attachment:  Upper right cuspid (C) mesio-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07CJA","Loss of Attachment:  Upper right lateral incisor (LI) mesio- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07CJD","Loss of Attachment: Upper right lateral incisor (LI) distal - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07CJL","Loss of Attachment:  Upper right lateral incisor (LI) mid- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07CJM","Loss of Attachment:  Upper right lateral incisor (LI) mid-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07CJP","Loss of Attachment: Upper right lateral incisor (LI) distal - lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07CJS","Loss of Attachment:  Upper right lateral incisor (LI) mesio-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07LAA","Loss of Attachment:  Upper right lateral incisor (LI) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07LAD","Loss of Attachment:  Upper right lateral incisor (LI) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07LAL","Loss of Attachment:  Upper right lateral incisor (LI) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07LAM","Loss of Attachment:  Upper right lateral incisor (LI) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07LAP","Loss of Attachment:  Upper right lateral incisor (LI) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07LAS","Loss of Attachment:  Upper right lateral incisor (LI) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07PCA","Loss of Attachment:  Upper right lateral incisor (LI) mesio- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07PCD","Loss of Attachment: Upper right lateral incisor (LI) distal - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07PCL","Loss of Attachment:  Upper right lateral incisor (LI) mid- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07PCM","Loss of Attachment:  Upper right lateral incisor (LI) mid-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07PCP","Loss of Attachment: Upper right lateral incisor (LI) distal - lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX07PCS","Loss of Attachment:  Upper right lateral incisor (LI) mesio-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08CJA","Loss of Attachment:  Upper right central incisor (CI) mesio- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08CJD","Loss of Attachment: Upper right central incisor (CI) distal - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08CJL","Loss of Attachment:  Upper right central incisor (CI) mid- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08CJM","Loss of Attachment:  Upper right central incisor (CI) mid-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08CJP","Loss of Attachment: Upper right central incisor (CI) distal - lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08CJS","Loss of Attachment:  Upper right central incisor (CI) mesio-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08LAA","Loss of Attachment:  Upper right central incisor (CI) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08LAD","Loss of Attachment:  Upper right central incisor (CI) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08LAL","Loss of Attachment:  Upper right central incisor (CI) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08LAM","Loss of Attachment:  Upper right central incisor (CI) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08LAP","Loss of Attachment:  Upper right central incisor (CI) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08LAS","Loss of Attachment:  Upper right central incisor (CI) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08PCA","Loss of Attachment:  Upper right central incisor (CI) mesio- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08PCD","Loss of Attachment: Upper right central incisor (CI) distal - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08PCL","Loss of Attachment:  Upper right central incisor (CI) mid- lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08PCM","Loss of Attachment:  Upper right central incisor (CI) mid-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08PCP","Loss of Attachment: Upper right central incisor (CI) distal - lingual - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX08PCS","Loss of Attachment:  Upper right central incisor (CI) mesio-facial - FGM to sulcus base (pocket depth) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX09CJA","Loss of Attachment:  Upper left central incisor (CI) mesio- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX09CJD","Loss of Attachment: Upper left central incisor (CI) distal - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX09CJL","Loss of Attachment:  Upper left central incisor (CI) mid- lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX09CJM","Loss of Attachment:  Upper left central incisor (CI) mid-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX09CJP","Loss of Attachment: Upper left central incisor (CI) distal - lingual - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX09CJS","Loss of Attachment:  Upper left central incisor (CI) mesio-facial - FGM to CEJ measurement (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX09LAA","Loss of Attachment:  Upper left central incisor (CI) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX09LAD","Loss of Attachment:  Upper left central incisor (CI) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX09LAL","Loss of Attachment:  Upper left central incisor (CI) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
"OHX09LAM","Loss of Attachment:  Upper left central incisor (CI) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","OHXPER_G","Oral Health - Periodontal",2011,2012,"Examination","None"
